domain,data_item,writer_page,write_api,source_table,source_column,interpretation_rule,consumer_type,consumer,read_api,dto_field,transform_or_fallback,snapshot_or_cache,confidence
기준정보-라인,라인 등록(원장),/admin/lines/register,POST /api/admin/lines/registrations,line_registrations,"hub;organization_slug;line_name;line_code;activity_type_id;status",additive 원장 — 기존 행 수정 대신 신규 행 추가(lib/adminLineRegistrationsData.ts),admin-page,/admin/lines/register,GET /api/admin/lines/registrations,rows[].lineName,,,HIGH
기준정보-라인,정보 라인 9종 고정 계약,/admin/lines/register,POST /api/admin/lines/registrations,line_registrations,activity_type_id,listInfoLineCatalog 단일 SoT — 신규 activity type 금지(422/409 검증) lib/adminInfoLineCatalog.ts,admin-page,/admin/line-opening/practical-info,GET /api/admin/cluster4/activity-types,items[].activityTypeId,미등록 activity type 은 422 로 거부,,HIGH
기준정보-라인,라인 마스터 브리지,/admin/lines/register,POST /api/admin/lines/registrations/[id]/bridge,cluster4_experience_line_masters,"line_name;organization_slug",lib/adminLineBridgeData.ts — line_registrations 를 hub 별 master 로 승격 후 line_registrations 에 역참조 기록,admin-page,/admin/line-opening/practical-experience,GET /api/admin/cluster4/experience-line-masters,items[].id,,,HIGH
기준정보-라인,라인 마스터 브리지,/admin/lines/register,POST /api/admin/lines/registrations/[id]/bridge,cluster4_competency_line_masters,"line_name;organization_slug",lib/adminLineBridgeData.ts,admin-page,/admin/line-opening/practical-competency,GET /api/admin/cluster4/competency-line-masters,items[].id,,,HIGH
기준정보-라인,라인 마스터 브리지,/admin/lines/register,POST /api/admin/lines/registrations/[id]/bridge,career_projects,"project_name;organization_slug",lib/adminLineBridgeData.ts,admin-page,/admin/line-opening/practical-career,GET /api/admin/cluster4/career-line-options,options[].id,,,HIGH
기준정보-라인,마스터 drift 가드,UNKNOWN,UNKNOWN,line_registrations,bridged_master_id,lib/lineMasterDriftGuard.ts — master 이름 변경 시 line_registrations 를 update 로 재동기(부수효과 쓰기),admin-page,/admin/lines/register,GET /api/admin/lines/registrations,rows[].bridgeState,읽기 요청 중 자동 교정 쓰기 발생,,MEDIUM
기준정보-라인,라인 포인트 배점,/admin/lines/register,PUT /api/admin/lines/point-configs,cluster4_line_point_configs,"line_master_id;point_check;point_advantage;point_penalty",lib/adminLinePointConfigsData.ts — 역량 master 단위 배점,batch,processPointAccrual,,,적립 시 배점 조회,,HIGH
기준정보-라인,라인 소요 시간,/admin/lines/register,POST /api/admin/lines/registrations,line_registrations,duration_minutes,lib/lineDuration 규칙 — 라인 등록의 소요시간이 카드 표시 SoT,external-api,크루앱 주차카드,/api/cluster4/weekly-cards,cards[].lines[].durationMinutes,,cluster4_weekly_card_snapshots,MEDIUM
기준정보-기간,시즌 정의,/admin/periods/register,POST /api/admin/season-weeks,seasons,"season_key;start_date;end_date",app/api/admin/season-weeks/route.ts 직접 insert,admin-page,/admin/periods/register,GET /api/admin/season-weeks,seasons[],,,HIGH
기준정보-기간,주차 정의,/admin/periods/register,POST /api/admin/season-weeks,weeks,"season_key;week_number;start_date;end_date;iso_year;iso_week",주차 경계 00:01 KST — lib/weekBoundary 규칙. iso_year/iso_week 가 user_weekly_points 조인 키,admin-page,전 주차 화면,GET /api/admin/cluster4/weeks-options,weeks[].weekId,,,HIGH
